activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,82585,[],CHEMBL666794,Inhibition of Cytochrome P450 19A1,B,,,BAO_0000190,BAO_0000357,single protein format,CC12CCC(O)CC1=CCC1C2CCC2(C)C(CC3CN3)CCC12,,,CHEMBL1133116,J. Med. Chem.,2000.0,"{'bei': '15.62', 'le': '0.29', 'lle': '0.86', 'sei': '12.21'}",CHEMBL341591,,CHEMBL341591,5.15,0,http://www.openphacts.org/units/Nanomolar,267172,=,1,1,=,,IC50,nM,,7100.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,7.1
,94540,[],CHEMBL666794,Inhibition of Cytochrome P450 19A1,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@H]1CN1,,,CHEMBL1133116,J. Med. Chem.,2000.0,,CHEMBL2111947,,CHEMBL2111947,,0,http://www.openphacts.org/units/Nanomolar,267163,>,1,1,>,,IC50,nM,,50000.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,50.0
,112960,[],CHEMBL661700,In vitro inhibition of human Cytochrome P450 19A1,B,,,BAO_0000190,BAO_0000357,single protein format,CCn1c(C(c2ccc(F)cc2)n2ccnc2)c(C)c2cc(Br)ccc21,,,CHEMBL1131917,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '16.06', 'le': '0.35', 'lle': '0.91', 'sei': '29.11'}",CHEMBL431859,,CHEMBL431859,6.62,0,http://www.openphacts.org/units/Nanomolar,214178,=,1,1,=,,IC50,nM,,238.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,0.238
,116766,[],CHEMBL661700,In vitro inhibition of human Cytochrome P450 19A1,B,,,BAO_0000190,BAO_0000357,single protein format,CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2ccccc21,,,CHEMBL1131917,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '22.68', 'le': '0.41', 'lle': '2.61', 'sei': '31.84'}",CHEMBL113637,,CHEMBL113637,7.24,0,http://www.openphacts.org/units/Nanomolar,214179,=,1,1,=,,IC50,nM,,57.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,0.057
,118017,[],CHEMBL661700,In vitro inhibition of human Cytochrome P450 19A1,B,,,BAO_0000190,BAO_0000357,single protein format,Clc1ccccc1Cn1cc(Cn2ccnc2)c2ccccc21,,,CHEMBL1131917,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '22.58', 'le': '0.43', 'lle': '2.68', 'sei': '31.95'}",CHEMBL112021,,CHEMBL112021,7.27,0,http://www.openphacts.org/units/Nanomolar,214173,=,1,1,=,,IC50,nM,,54.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,0.054
,118020,[],CHEMBL661700,In vitro inhibition of human Cytochrome P450 19A1,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(S(=O)(=O)n2cc(C(c3ccccc3)n3ccnc3)c3ccccc32)cc1,,,CHEMBL1131917,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '12.32', 'le': '0.23', 'lle': '0.25', 'sei': '9.26'}",CHEMBL324070,,CHEMBL324070,5.27,0,http://www.openphacts.org/units/Nanomolar,214180,=,1,1,=,,IC50,nM,,5400.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,5.4
,126976,[],CHEMBL661700,In vitro inhibition of human Cytochrome P450 19A1,B,,,BAO_0000190,BAO_0000357,single protein format,CCn1ccc2cc(C(c3ccc(F)cc3)n3ccnc3)ccc21,,,CHEMBL1131917,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '23.13', 'le': '0.42', 'lle': '2.76', 'sei': '32.47'}",CHEMBL41761,,CHEMBL41761,7.39,1,http://www.openphacts.org/units/Nanomolar,214175,=,1,1,=,,IC50,nM,,41.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,0.041
,135646,[],CHEMBL661700,In vitro inhibition of human Cytochrome P450 19A1,B,,,BAO_0000190,BAO_0000357,single protein format,Cn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21,,,CHEMBL1131917,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '18.49', 'le': '0.40', 'lle': '2.20', 'sei': '31.23'}",CHEMBL111868,,CHEMBL111868,7.11,0,http://www.openphacts.org/units/Nanomolar,214176,=,1,1,=,,IC50,nM,,78.5,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,0.0785
,138013,[],CHEMBL661700,In vitro inhibition of human Cytochrome P450 19A1,B,,,BAO_0000190,BAO_0000357,single protein format,CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21,,,CHEMBL1131917,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '18.29', 'le': '0.40', 'lle': '1.89', 'sei': '32.02'}",CHEMBL111888,,CHEMBL111888,7.29,0,http://www.openphacts.org/units/Nanomolar,214177,=,1,1,=,,IC50,nM,,51.8,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,0.0518
,138016,[],CHEMBL661700,In vitro inhibition of human Cytochrome P450 19A1,B,,,BAO_0000190,BAO_0000357,single protein format,CCn1ccc2cc(C(c3ccccc3)n3ccnc3)ccc21,,,CHEMBL1131917,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '22.19', 'le': '0.40', 'lle': '2.19', 'sei': '29.40'}",CHEMBL112074,,CHEMBL112074,6.69,0,http://www.openphacts.org/units/Nanomolar,214174,=,1,1,=,,IC50,nM,,205.0,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1,9606,,,IC50,uM,UO_0000065,,0.205
