molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL341591,CC12CCC(O)CC1=CCC1C2CCC2(C)C(CC3CN3)CCC12,intermediate,7100.0
CHEMBL2111947,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@H]1CN1,inactive,50000.0
CHEMBL431859,CCn1c(C(c2ccc(F)cc2)n2ccnc2)c(C)c2cc(Br)ccc21,active,238.0
CHEMBL113637,CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2ccccc21,active,57.0
CHEMBL112021,Clc1ccccc1Cn1cc(Cn2ccnc2)c2ccccc21,active,54.0
CHEMBL324070,Cc1ccc(S(=O)(=O)n2cc(C(c3ccccc3)n3ccnc3)c3ccccc32)cc1,intermediate,5400.0
CHEMBL41761,CCn1ccc2cc(C(c3ccc(F)cc3)n3ccnc3)ccc21,active,41.0
CHEMBL111868,Cn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21,active,78.5
CHEMBL111888,CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21,active,51.8
CHEMBL112074,CCn1ccc2cc(C(c3ccccc3)n3ccnc3)ccc21,active,205.0
CHEMBL324326,N#Cc1ccc(Cn2cc(Cn3ccnc3)c3ccccc32)cc1,active,50.0
CHEMBL37321,CCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,intermediate,6600.0
CHEMBL353068,c1ccc2c(c1)CCC1C(c3cc[nH]n3)C21,inactive,51000.0
CHEMBL41066,CCCCCCCC1(c2ccncc2)CCC(=O)NC1=O,intermediate,3200.0
CHEMBL166709,O=C1/C(=C/c2cccnn2)CCc2ccccc21,inactive,250000.0
CHEMBL424556,O=C1/C(=C/c2ccnnc2)CCc2ccccc21,inactive,103000.0
CHEMBL1630273,C[C@]12CC[C@H]3[C@@H](CC=C4[C@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O,intermediate,6800.0
CHEMBL1630261,C[C@]12CC[C@H]3[C@@H](C[C@@H](O)C4=CCCC[C@@]43C)[C@@H]1CCC2=O,active,50.0
CHEMBL169251,O=C1/C(=C\c2c[nH]cn2)CCc2ccccc21,active,170.0
CHEMBL168636,O=C1/C(=C/c2cccnc2)CCc2ccccc21,intermediate,9200.0
CHEMBL90585,O=C1/C(=C/c2ccncc2)CCc2ccccc21,intermediate,4600.0
CHEMBL1629805,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43CO)[C@@H]1CCC2=O,active,49.0
CHEMBL433728,c1ccc2c(c1)CCC1C(c3ccsc3)C21,inactive,250000.0
CHEMBL38877,CCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,inactive,31000.0
CHEMBL169449,O=C1c2ccccc2CCC1C(O)c1cnccn1,inactive,250000.0
CHEMBL39275,CCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,inactive,40000.0
CHEMBL39513,CCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,inactive,21000.0
CHEMBL2112738,CC(=O)O[C@H]1CCC[C@@]2(CO)C1=CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]12,inactive,11000.0
CHEMBL289116,CCC1(c2ccncc2)CCC(=O)NC1=O,inactive,10000.0
CHEMBL289116,CCC1(c2ccncc2)CCC(=O)NC1=O,inactive,45000.0
CHEMBL39782,CCC1(c2ccncc2)CCC(=O)N(C)C1=O,inactive,30000.0
CHEMBL304903,c1ccc2c(c1)CCC1C(c3ccncc3)C21,active,370.0
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,intermediate,8000.0
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,inactive,14000.0
CHEMBL168434,O=C1/C(=C/c2c[nH]cn2)CCc2ccccc21,active,260.0
CHEMBL352645,c1ccc2c(c1)CCC1C(c3c[nH]cn3)C21,active,600.0
CHEMBL2112739,CC(=O)O[C@H]1CCC[C@@]2(C)C1=CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]12,active,1000.0
CHEMBL440930,c1cncc(C2C3CCc4ccccc4C32)c1,inactive,13000.0
CHEMBL1630274,C[C@]12CC[C@H]3[C@@H](CC=C4[C@@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O,active,31.0
CHEMBL1629804,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43C)[C@@H]1CCC2=O,active,60.0
CHEMBL39661,CCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,active,800.0
CHEMBL39661,CCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,intermediate,5000.0
CHEMBL38550,CCCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,intermediate,3000.0
CHEMBL39152,CCCCCCC1(c2ccncc2)CCC(=O)NC1=O,intermediate,3600.0
CHEMBL166789,c1ccc(C2C3CCc4ccccc4C32)nc1,inactive,250000.0
CHEMBL3349856,C[C@]12CC[C@H]3[C@@H](CC=C4[C@H](O)CCC[C@@]43C)[C@@H]1CCC2=O,active,860.0
CHEMBL1630275,CO[C@H]1CCC[C@@]2(CO)C1=CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]12,inactive,150000.0
CHEMBL1630267,C[C@]12CC[C@H]3[C@@H](C[C@@H](O)C4=CCCC[C@@]43CO)[C@@H]1CCC2=O,active,940.0
CHEMBL38439,CCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,intermediate,1500.0
CHEMBL38510,CC1(c2ccncc2)CCC(=O)NC1=O,inactive,245000.0
CHEMBL415753,O=C1/C(=C/c2cc[nH]n2)CCc2ccccc21,inactive,18000.0
CHEMBL3349864,C[C@]12CC[C@H]3[C@@H](CC=C4[C@@H](O)CCC[C@@]43C)[C@@H]1CCC2=O,active,280.0
CHEMBL1629806,C[C@]12CC[C@H]3[C@@H](C[C@H](O)C4=CCCC[C@@]43C)[C@@H]1CCC2=O,active,190.0
CHEMBL169664,O=C1c2ccccc2CCC1C(O)c1cccnn1,inactive,250000.0
CHEMBL168762,O=C1c2ccccc2CCC1C(O)c1ccnnc1,inactive,250000.0
CHEMBL275594,CCCC1(c2ccncc2)CCC(=O)NC1=O,intermediate,6000.0
CHEMBL39781,CCN1C(=O)CCC(CC)(c2ccncc2)C1=O,inactive,385000.0
CHEMBL413344,O=C1/C(=C/c2cnccn2)CCc2ccccc21,inactive,38000.0
CHEMBL168444,O=C1c2ccccc2CCC1C(O)c1ccncn1,inactive,27000.0
CHEMBL288712,CCCCCC1(c2ccncc2)CCC(=O)NC1=O,intermediate,2500.0
CHEMBL169086,O=C1/C(=C/c2cncs2)CCc2ccccc21,intermediate,1100.0
CHEMBL168700,c1ccc(C2C3CCc4ccccc4C32)cc1,inactive,250000.0
CHEMBL355681,Nc1ncc(/C=C2\CCc3ccccc3C2=O)s1,inactive,250000.0
CHEMBL289766,CCCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O,intermediate,2400.0
CHEMBL1630266,C[C@]12CC[C@H]3[C@@H](C[C@H](O)C4=CCCC[C@@]43CO)[C@@H]1CCC2=O,intermediate,1400.0
CHEMBL2111917,CC(=O)O[C@@H]1CCC[C@@]2(C)C1=CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]12,active,700.0
CHEMBL39840,CCCCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,inactive,10000.0
CHEMBL424203,O=C1/C(=C/c2ccccn2)CCc2ccccc21,inactive,250000.0
CHEMBL1630911,C[C@]12CC[C@H]3[C@@H](CC=C4CCCC[C@@]43CO)[C@@H]1CCC2=O,intermediate,6900.0
CHEMBL40125,CCCCC1(c2ccncc2)CCC(=O)NC1=O,intermediate,4000.0
CHEMBL28689,O=C1/C(=C/c2ccccc2)CCc2ccccc21,inactive,250000.0
CHEMBL166974,O=C1/C(=C/c2ccsc2)CCc2ccccc21,inactive,250000.0
CHEMBL2311169,C[C@]12CC[C@H]3[C@@H](CC=C4CCCC[C@@]43C)[C@@H]1CCC2=O,active,660.0
CHEMBL38472,CCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O,active,330.0
CHEMBL38472,CCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O,active,600.0
CHEMBL276140,CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,inactive,100000.0
CHEMBL297784,Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,inactive,100000.0
CHEMBL14563,Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,inactive,100000.0
CHEMBL274318,O=C1CC(c2ccccc2)Oc2ccccc21,inactive,28500.0
CHEMBL113739,C#CC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2CCC(=O)C=C21,active,187.5
CHEMBL113121,C#CC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,active,176.0
CHEMBL10137,COc1ccc2c(c1)OC(c1ccccc1)/C(=C\c1ccncc1)C2=O,active,620.0
CHEMBL10072,O=C1/C(=C\c2ccncc2)C(c2ccccc2)Oc2ccccc21,intermediate,3300.0
CHEMBL113082,C#CC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,active,31.0
CHEMBL9687,COc1ccc2c(c1)OC(c1ccccc1)CC2=O,intermediate,8000.0
CHEMBL10026,O=C1/C(=C/c2ccncc2)C(c2ccccc2)Oc2ccccc21,active,800.0
CHEMBL2105261,C#CC[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]12,active,56.2
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,intermediate,5200.0
CHEMBL109211,C#CC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2CCC(=O)C=C21,active,275.0
CHEMBL267508,COc1ccc2c(c1)OC(c1ccccc1)/C(=C/c1ccncc1)C2=O,intermediate,1600.0
CHEMBL27879,CCCCCCCCCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,active,225.0
CHEMBL27386,Nc1ccc([C@@]23C[C@@H]2C(=O)NC3=O)cc1,active,1000.0
CHEMBL287574,Nc1ccc(C23CC2C(=O)NC3=O)cc1,intermediate,1800.0
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,intermediate,1900.0
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,inactive,13000.0
CHEMBL281947,Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1,active,5.0
CHEMBL281947,Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1,active,230.0
CHEMBL26543,Nc1ccc(C23CC(C2)C(=O)NC3=O)cc1,intermediate,2000.0
CHEMBL27546,Nc1ccc(C23CC(C2)C(=O)N(CC2CCCCC2)C3=O)cc1,active,97.0
CHEMBL286506,CC(C)CN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,active,62.0
CHEMBL281947,Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1,active,150.0
CHEMBL281947,Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1,active,12.0
CHEMBL281947,Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1,active,780.0
CHEMBL26651,CCCCCN1C(=O)C2CC2(c2ccc(N)cc2)C1=O,active,23.0
CHEMBL27591,CCCCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,active,31.0
CHEMBL28173,CCCCCCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,active,49.0
CHEMBL28290,COc1ccc(CN2C(=O)C3CC(c4ccc(N)cc4)(C3)C2=O)cc1,active,240.0
CHEMBL27467,Nc1ccc(C23CC(C2)C(=O)N(C2CCCCC2)C3=O)cc1,active,13.0
CHEMBL27467,Nc1ccc(C23CC(C2)C(=O)N(C2CCCCC2)C3=O)cc1,active,70.0
CHEMBL27698,CCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,active,111.0
CHEMBL27767,Nc1ccc([C@]23C[C@H]2C(=O)NC3=O)cc1,inactive,777000.0
CHEMBL29482,N#Cc1ccc(C(c2ccc(C#N)cc2)n2ccnc2)cc1,active,3.5
CHEMBL311077,CC(=O)OCC12CCCC=C1CCC1C2CCC2(C)C(OC(C)=O)CCC12,inactive,38000.0
CHEMBL424162,C#CCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,active,1000.0
CHEMBL349514,CCSC(C[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12)SCC,active,1000.0
